DEPT,DEPT,GR,CALI,SP,ILD,SFLU,MSFL,DT,RHOB,DRHO,PEF,NPHI,log10_ILD,log10_SFLU,log10_MSFL,ILD_to_SFLU,MSFL_to_SFLU,ILD_to_MSFL,NPHI_RHOB_product,NPHI_minus_DRHO,GR_DT_product,DEPT_normalized,GR_roll5_mean,GR_roll15_mean,GR_roll15_std,ILD_roll5_mean,ILD_roll15_mean,ILD_roll15_std,RHOB_roll5_mean,RHOB_roll15_mean,RHOB_roll15_std,NPHI_roll5_mean,NPHI_roll15_mean,NPHI_roll15_std,DT_roll5_mean,DT_roll15_mean,DT_roll15_std,Porosity,Permeability k,Water Saturation Sw
7805.0,7805.0,68.7,15.6933,-85.7333,10.7352,11.7228,12.5548,84.7333,2.4369,-0.0007,3.56,23.3733,1.030810139884263,1.0690313556508053,1.0988097987225203,0.9157539154468217,1.0709728051318799,0.8550673845859751,56.958394770000005,23.374,5821.17771,0.00134661998384056,66.52,66.57999333333333,1.9087062935277375,10.786399999999999,10.668373333333333,0.3006452951965283,2.44888,2.46494,0.031163137564390785,23.00266,24.15733333333333,1.395782240827533,83.5022,83.91258,0.9336611194646544,0.202141013395957,52.312892755212,0.5649428405748393
7805.5,7805.5,66.1667,16.0356,-84.2667,10.7242,10.9803,14.2243,83.8889,2.4562,-0.0014,3.5244,21.52,1.0303649047221104,1.0406142059214236,1.1530309032838035,0.9766764113913099,1.2954381938562698,0.7539351672841546,52.857423999999995,21.5214,5550.651679630001,0.0014812819822246162,66.05999999999999,66.83555333333332,1.6204289427126943,10.71162,10.637093333333333,0.29909552097392655,2.45938,2.4680666666666666,0.030713414162606693,22.63466,24.21066666666667,1.451022124802607,83.56888000000001,83.83850666666666,0.8678706145064476,0.18686096290870155,32.6098171671834,0.6114528632496936
7806.0,7806.0,64.3667,16.2,-84.0667,10.6367,10.2525,12.6599,83.5111,2.4753,-0.005,3.5022,22.16,1.0268069104697783,1.0108297779595223,1.1024302752216433,1.0374737868812485,1.234811021702024,0.8401883111241004,54.852647999999995,22.165,5375.33392037,0.0016159439806086723,65.85999999999999,66.69777333333333,1.5553533022925696,10.63922,10.623873333333334,0.29247917255926115,2.4724399999999997,2.47042,0.029405422240513002,22.89066,24.127113333333334,1.3350616212994333,83.67999999999999,83.79406,0.8326890268452926,0.1862076596350441,31.671171270795153,0.6161167571894136
7806.5,7806.5,64.2333,15.6667,-84.2222,10.5608,9.7607,12.3256,82.8667,2.4898,-0.0036,3.5867,23.2,1.0236968180487167,0.98948096471956,1.0908080695595483,1.0819715799071787,1.2627782843443605,0.8568183293308237,57.76335999999999,23.203599999999998,5322.80160111,0.0017506059789927282,65.44,66.74444,1.5880847673489398,10.5468,10.616499999999998,0.28754285891721143,2.48692,2.4731599999999996,0.028540092101162824,23.09066,24.079113333333336,1.293708309399584,83.32000000000001,83.52739333333332,1.1399563760241396,0.1893890157768324,34.809477540059596,0.6079401435783592
7807.0,7807.0,65.8333,15.8267,-85.2667,10.5392,9.6513,13.5436,83.4,2.504,0.0008,3.4311,24.2,1.0228076460974385,0.9845858153957091,1.1317341187306744,1.0919979691854982,1.4032928206562845,0.7781682861277651,60.5968,24.199199999999998,5490.49722,0.0018852679773767843,65.8,66.50888666666667,1.383086951024861,10.41494,10.609813333333333,0.28041351064522274,2.4991399999999997,2.4780933333333337,0.02939286761557412,23.57066,23.917333333333332,1.179449050959612,83.41332,83.41628666666666,1.2178935162617364,0.19278833841516577,38.65130592898598,0.5978323810291575
7807.5,7807.5,66.6,16.26,-85.0222,10.2731,9.3404,13.766,82.9333,2.5093,0.0067,3.2444,24.3733,1.0117015156267304,0.9703654751672455,1.1388077652177144,1.0998565371932678,1.4738126846815982,0.7462661630103152,61.159921690000004,24.366600000000002,5523.357779999999,0.0020199299757608404,66.59331999999999,66.25333333333334,1.9705619215509713,10.31298,10.6046,0.27415275199889727,2.5046999999999997,2.4840933333333335,0.0313418585160181,24.008000000000003,23.712,1.4096642852618713,83.83109999999999,83.22518,1.3488389976992374,0.19288860164483543,37.793130571005996,0.6052108361596618
7808.0,7808.0,67.9667,16.0089,-85.0,10.0649,9.4268,13.0802,84.3555,2.5173,0.0113,3.12,23.92,1.0028094643052559,0.9743642931408506,1.1166143845258882,1.0676899902405905,1.3875546314762166,0.7694760018959955,60.21381600000001,23.908700000000003,5733.36496185,0.0021545919741448962,67.1,65.75111333333334,2.7138887386043984,10.28722,10.611346666666666,0.28392745015651166,2.5039000000000002,2.4898733333333336,0.030064418139974788,24.56,23.466666666666665,1.4804835333028725,84.0711,83.23407333333333,1.3443837831441396,0.18855369053877555,32.30662956101627,0.6254955847884563
7808.5,7808.5,68.3333,16.06,-85.0,10.1269,9.1982,11.6764,85.6,2.5031,0.0096,3.1689,24.3467,1.0054765214771186,0.963702848372621,1.0673089642550988,1.1009654062751406,1.2694222782718356,0.8672964269809188,60.942224769999996,24.3371,5849.330479999999,0.0022892539725289525,67.22,65.38222666666667,2.924194767420506,10.31328,10.637853333333332,0.32805108893643153,2.49736,2.492386666666667,0.026888974550565558,24.78934,23.443553333333334,1.4922870045990628,84.21332,83.20444666666666,1.3584080892546164,0.19387955427776438,38.4185139014832,0.6064482462421706
7809.0,7809.0,66.7667,17.0822,-84.7556,10.432,9.021,10.9127,84.0667,2.4858,0.0079,3.24,25.96,1.018367578387845,0.95525468282018,1.0379322162188205,1.1564128145438421,1.2096995898459149,0.9559504064072137,64.531368,25.9521,5612.85613889,0.0024239159709130084,67.52,65.08889333333333,2.7849818995222564,10.40788,10.694153333333333,0.4085425889088905,2.4922599999999995,2.49384,0.024122567975120274,24.87468,23.474666666666668,1.4955792211269423,83.74665999999999,83.08444666666668,1.2915644864530258,0.20728297755794944,59.10461243707797,0.5588774543461724
7809.5,7809.5,66.4333,16.1,-84.7333,10.6695,9.0211,10.9461,84.1111,2.4713,0.0053,3.2,25.3467,1.0281440677535318,0.9552594970544643,1.0392594113973699,1.182727161876046,1.213388611144982,0.9747307260120043,62.63929970999999,25.3414,5587.77793963,0.0025585779692970643,67.14,64.83778,2.849916666500955,10.56402,10.742546666666666,0.4529366478354107,2.49226,2.49436,0.023324077075601194,24.810679999999998,23.652446666666666,1.4022121466080817,83.24889999999999,82.98963333333333,1.28044539609503,0.20634032866026994,58.819420277138065,0.5551468322496113
