R2,RMSE,MAE,MedianAE,MAPE_percent,ExplainedVariance,Pearson_r,Target,Model,Fold,ValidationType,TrainRows,ValidationRows
-16.29072559898466,0.05694726275333111,0.05203694380550188,0.05811365089462006,21.33896358225524,-1.8585212242448228,0.19784193706558903,Porosity,ANN Deep MLP,1,Depth TimeSeriesSplit,1030,1027
-1.0350861786632444,0.021088395396250754,0.017706263220132915,0.01612315903250844,7.768069176768824,0.10173275024554518,0.7498059504660628,Porosity,ANN Deep MLP,2,Depth TimeSeriesSplit,2057,1027
0.8540847502916641,0.008515278364487615,0.006459009304308672,0.005101011808780115,3.2281935569764024,0.8645100246472421,0.9341673320242503,Porosity,ANN Deep MLP,3,Depth TimeSeriesSplit,3084,1027
0.8659317537223027,0.009400554580276006,0.0069927809238014334,0.005140584867966813,3.712900393386445,0.8835721437029752,0.9579048257834567,Porosity,ANN Deep MLP,4,Depth TimeSeriesSplit,4111,1027
0.8761080997580931,0.005783744098547962,0.004132050491488356,0.0028200779534833242,2.2364179276847196,0.879660523239419,0.9481832474171151,Porosity,ANN Deep MLP,5,Depth TimeSeriesSplit,5138,1027
0.9121140439188411,0.00405999955009415,0.002319412431457134,0.0015269592531631238,1.0008813166675798,0.9162881606661548,0.9611898809206737,Porosity,XGBoost,1,Depth TimeSeriesSplit,1030,1027
0.9262307877202619,0.004015038429154864,0.0023610068934253143,0.0014262661398415644,1.0840211548332923,0.9338861359049835,0.966680379294932,Porosity,XGBoost,2,Depth TimeSeriesSplit,2057,1027
0.8842929273222364,0.0075827800959611825,0.005393350993234328,0.003943143734015692,2.76068991183694,0.888440387742968,0.94328055533189,Porosity,XGBoost,3,Depth TimeSeriesSplit,3084,1027
0.9551448334097818,0.0054374684249106795,0.0038424039405341886,0.002612822676937687,2.0836712707991323,0.9561703317890664,0.9780073828418856,Porosity,XGBoost,4,Depth TimeSeriesSplit,4111,1027
0.9552725341895111,0.003475159629842447,0.0024845981416106067,0.0019189694906072696,1.3889800456984458,0.9590873873941543,0.9797461548828539,Porosity,XGBoost,5,Depth TimeSeriesSplit,5138,1027
-0.18359704319434567,106.40350152059806,74.20786625159653,62.47364878937219,38.081989148387855,-2.220446049250313e-16,-7.696524769715298e-17,Permeability k,Baseline Mean,1,Depth TimeSeriesSplit,1030,1027
-2.885460516166204,147.88204327268926,130.52896970794862,128.39861190723659,107.05647718446384,0.0,1.5087207625285116e-16,Permeability k,Baseline Mean,2,Depth TimeSeriesSplit,2057,1027
-27.430417519982413,234.1444281309609,229.9897163797425,244.24379476020732,770.0597104089649,1.1102230246251565e-16,,Permeability k,Baseline Mean,3,Depth TimeSeriesSplit,3084,1027
-0.04647247333632398,209.73664626579057,170.44825792890686,143.62499234069213,463.46515909423465,0.0,,Permeability k,Baseline Mean,4,Depth TimeSeriesSplit,4111,1027
-1.110736173895932,126.88764819155878,120.1717315823061,122.59051620722785,475.99180787051176,0.0,-2.7884319628396644e-17,Permeability k,Baseline Mean,5,Depth TimeSeriesSplit,5138,1027
0.9292160759283412,26.020839367029563,20.866083164802564,17.602789388291455,7.497099734546683,0.9429689490332333,0.9721544356226971,Permeability k,Linear Regression,1,Depth TimeSeriesSplit,1030,1027
0.9299558831393834,19.85546326841121,14.8899337266134,12.375720287906177,11.594129238136793,0.9301462283812499,0.9697149145229593,Permeability k,Linear Regression,2,Depth TimeSeriesSplit,2057,1027
0.3886257617966167,34.335689739255926,26.84807885941106,22.274307685388536,81.13273331053324,0.5969324591050214,0.7814372477774886,Permeability k,Linear Regression,3,Depth TimeSeriesSplit,3084,1027
0.8702810301634729,73.84348083409861,35.646223531854474,11.554202821480075,39.24953056859435,0.8782954603325975,0.9396511607204909,Permeability k,Linear Regression,4,Depth TimeSeriesSplit,4111,1027
0.97178646628846,14.670033771645398,6.980522119152061,4.106191144045681,18.59967867013304,0.9718058714584843,0.9868137082678441,Permeability k,Linear Regression,5,Depth TimeSeriesSplit,5138,1027
0.885004281943567,33.16613154003138,26.169239505202885,22.957850698565892,9.05015489614808,0.9137447560460066,0.9605683108176546,Permeability k,Ridge Regression,1,Depth TimeSeriesSplit,1030,1027
0.9299654535201632,19.85410676022802,14.859490157659057,12.07862537704517,11.72976209241052,0.9299689548471153,0.9687474906742934,Permeability k,Ridge Regression,2,Depth TimeSeriesSplit,2057,1027
0.39779113853730175,34.07734723294175,26.779383226045397,22.474864661348143,81.20532466488932,0.6066544344180431,0.7858572639472868,Permeability k,Ridge Regression,3,Depth TimeSeriesSplit,3084,1027
0.8723709403502061,73.246217029471,34.07935503634066,10.972152431733704,38.05421430006732,0.8777646283208548,0.937744831795382,Permeability k,Ridge Regression,4,Depth TimeSeriesSplit,4111,1027
0.9698028019074127,15.176991656775423,7.185676750662022,3.9182287293641913,18.40894453811742,0.969833733477327,0.9870954632859464,Permeability k,Ridge Regression,5,Depth TimeSeriesSplit,5138,1027
0.6214766881044915,60.172810941523515,36.71373448118633,26.081230868534703,16.635933728289984,0.6271592930507437,0.8241424139835213,Permeability k,Random Forest,1,Depth TimeSeriesSplit,1030,1027
