Feature,TargetCorrelation,AbsCorrelation,Selected,Target,SelectionStage
ILD_roll15_mean,0.15722725475394408,0.15722725475394408,False,Porosity,test_train_validation
ILD_roll5_mean,0.14894475867908127,0.14894475867908127,False,Porosity,test_train_validation
GR_DT_product,-0.14696239817774615,0.14696239817774615,False,Porosity,test_train_validation
ILD,0.14632786100436193,0.14632786100436193,False,Porosity,test_train_validation
NPHI_roll15_std,0.10470635915363456,0.10470635915363456,False,Porosity,test_train_validation
GR_roll15_std,0.10068615510533986,0.10068615510533986,False,Porosity,test_train_validation
ILD_to_SFLU,0.057171842980474875,0.057171842980474875,False,Porosity,test_train_validation
ILD_roll15_std,0.038451824795513144,0.038451824795513144,False,Porosity,test_train_validation
MSFL_to_SFLU,0.024325494673825818,0.024325494673825818,False,Porosity,test_train_validation
ILD_to_MSFL,0.011738044659036013,0.011738044659036013,False,Porosity,test_train_validation
ILD_roll15_mean,0.47839065820586724,0.47839065820586724,True,Permeability k,validation_train_only
ILD_roll5_mean,0.4672038068831163,0.4672038068831163,False,Permeability k,validation_train_only
ILD,0.4586015589205347,0.4586015589205347,False,Permeability k,validation_train_only
DT_roll15_mean,0.4423808226427173,0.4423808226427173,True,Permeability k,validation_train_only
log10_ILD,0.43361029755717473,0.43361029755717473,False,Permeability k,validation_train_only
DT_roll5_mean,0.43334870031184014,0.43334870031184014,False,Permeability k,validation_train_only
DT,0.42348264956404996,0.42348264956404996,False,Permeability k,validation_train_only
ILD_to_MSFL,0.4223115674931733,0.4223115674931733,False,Permeability k,validation_train_only
SFLU,0.41077814356655595,0.41077814356655595,False,Permeability k,validation_train_only
NPHI_roll15_std,0.39940143733106115,0.39940143733106115,True,Permeability k,validation_train_only
ILD_to_SFLU,0.37817796550867877,0.37817796550867877,True,Permeability k,validation_train_only
log10_SFLU,0.37429886768979964,0.37429886768979964,True,Permeability k,validation_train_only
ILD_roll15_std,0.36866571017287914,0.36866571017287914,True,Permeability k,validation_train_only
NPHI_minus_DRHO,0.35378920076417686,0.35378920076417686,True,Permeability k,validation_train_only
NPHI,0.35316509597480666,0.35316509597480666,False,Permeability k,validation_train_only
NPHI_roll5_mean,0.33233519058945693,0.33233519058945693,False,Permeability k,validation_train_only
DEPT_normalized,-0.30005173462003454,0.30005173462003454,True,Permeability k,validation_train_only
DEPT,-0.3000517346200344,0.3000517346200344,False,Permeability k,validation_train_only
MSFL_to_SFLU,-0.28570463713746674,0.28570463713746674,True,Permeability k,validation_train_only
RHOB_roll5_mean,-0.2853391681617696,0.2853391681617696,True,Permeability k,validation_train_only
RHOB,-0.2844282812761289,0.2844282812761289,False,Permeability k,validation_train_only
RHOB_roll15_mean,-0.28299661388840436,0.28299661388840436,False,Permeability k,validation_train_only
NPHI_RHOB_product,0.2809500174302506,0.2809500174302506,False,Permeability k,validation_train_only
NPHI_roll15_mean,0.27932300115961917,0.27932300115961917,False,Permeability k,validation_train_only
SP,-0.24857798136441664,0.24857798136441664,True,Permeability k,validation_train_only
log10_MSFL,0.21223611321112698,0.21223611321112698,True,Permeability k,validation_train_only
MSFL,0.2107908807301304,0.2107908807301304,False,Permeability k,validation_train_only
PEF,-0.18584459047524116,0.18584459047524116,False,Permeability k,validation_train_only
DRHO,-0.14018185190763321,0.14018185190763321,False,Permeability k,validation_train_only
CALI,-0.12435482528878486,0.12435482528878486,False,Permeability k,validation_train_only
GR_DT_product,0.10346030302168448,0.10346030302168448,False,Permeability k,validation_train_only
GR_roll15_mean,-0.08079862131422598,0.08079862131422598,False,Permeability k,validation_train_only
GR_roll5_mean,-0.08071459385490067,0.08071459385490067,False,Permeability k,validation_train_only
GR,-0.074795831327412,0.074795831327412,False,Permeability k,validation_train_only
RHOB_roll15_std,-0.057148072888837186,0.057148072888837186,False,Permeability k,validation_train_only
DT_roll15_std,-0.023659114356169793,0.023659114356169793,False,Permeability k,validation_train_only
GR_roll15_std,0.008042830380254756,0.008042830380254756,False,Permeability k,validation_train_only
