R2,RMSE,MAE,MedianAE,MAPE_percent,ExplainedVariance,Pearson_r,Target,Model,ValidationType,Rows
0.7652364133588734,12.007738563055065,6.026630513996074,4.22188898348162,14.427672126907284,0.7868045652475517,0.8905275630354554,Permeability k,ANN Deep MLP,Depth Holdout Test,1089
0.9206845945809612,37.21122775105081,13.985576061258776,3.975465923535447,18.868269767989325,0.9210008691537271,0.9637146215454118,Permeability k,XGBoost,Depth Holdout Validation,1088
0.6681608398023546,14.276103029918376,6.256141104792754,4.051115968410542,15.36375706225635,0.7018806220412859,0.8561451680511516,Permeability k,XGBoost,Depth Holdout Test,1089
-0.7169570904903584,0.23653410632237157,0.20896229623934612,0.1974271583059649,38.30099455993904,0.0,-2.4420302012505117e-16,Water Saturation Sw,Baseline Mean,Depth Holdout Validation,1088
-1.0716718340271876,0.19753983400799205,0.14505132517956917,0.08969026349219916,20.801824021881657,2.220446049250313e-16,,Water Saturation Sw,Baseline Mean,Depth Holdout Test,1089
0.9059066315905231,0.05537242690909726,0.04254507592997307,0.03767333574873799,7.317824747630169,0.9070026590035943,0.9525743939280967,Water Saturation Sw,Linear Regression,Depth Holdout Validation,1088
0.7692260526739958,0.06593068577232843,0.044316161163323084,0.03352714602938711,6.831310867379549,0.7697363979991432,0.9162622281187098,Water Saturation Sw,Linear Regression,Depth Holdout Test,1089
0.8946418478962082,0.058593322214871235,0.04512467786709162,0.04016079316033738,7.670677381150632,0.8963066065360767,0.9476211490686361,Water Saturation Sw,Ridge Regression,Depth Holdout Validation,1088
0.7734625377395858,0.06532271384529109,0.04394239191216614,0.03421783999849792,6.7881901264369455,0.7738087752322623,0.9203423312621618,Water Saturation Sw,Ridge Regression,Depth Holdout Test,1089
0.9038993697362852,0.05595993077182581,0.037677092965487005,0.02569931691333635,5.800207144279435,0.9183324139771948,0.9622506197335045,Water Saturation Sw,Random Forest,Depth Holdout Validation,1088
0.8111978235969799,0.05963451641981466,0.044556354507005014,0.03753749679759777,7.237670866594341,0.8289226150092935,0.9113117425298521,Water Saturation Sw,Random Forest,Depth Holdout Test,1089
0.9034707107679205,0.05608459715630442,0.037290272587072425,0.02474548657859138,5.784957403697275,0.9212867801243894,0.9660299026333828,Water Saturation Sw,Extra Trees,Depth Holdout Validation,1088
0.7800116516264728,0.06437156136721017,0.043716838941709454,0.034443300955669165,6.907334949661685,0.7828316532874098,0.9054476761266144,Water Saturation Sw,Extra Trees,Depth Holdout Test,1089
0.6965642448838598,0.09943686593404528,0.07730978325649873,0.06229142355799014,13.468590948075413,0.6977788870376778,0.8368689054270806,Water Saturation Sw,SVR RBF,Depth Holdout Validation,1088
0.48687324876270455,0.09831200019248394,0.07103619071454895,0.05313973994725041,11.269542309568571,0.4877940133197086,0.7047647020910747,Water Saturation Sw,SVR RBF,Depth Holdout Test,1089
0.8471078432127678,0.0705840630472448,0.05393433237867064,0.04219864564161663,9.433442340839399,0.9056329234564121,0.952621593817568,Water Saturation Sw,ANN Deep MLP,Depth Holdout Validation,1088
0.7988884938597044,0.0615478182969747,0.04104567070915075,0.030384686437073538,6.429968045319157,0.8014840712347987,0.898498913564339,Water Saturation Sw,ANN Deep MLP,Depth Holdout Test,1089
0.8670529378888905,0.06581932481327366,0.04550264072697045,0.02879687432370126,7.048568255881689,0.9112193002700884,0.9600072559930459,Water Saturation Sw,XGBoost,Depth Holdout Validation,1088
0.7769077989543044,0.0648240853761949,0.048277114254060616,0.043163491379065166,7.839067303924111,0.7893786743190482,0.8950428663970766,Water Saturation Sw,XGBoost,Depth Holdout Test,1089
